                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.4429,                 1.2943,                 1.4257,                 0.7073,                0.84363,                0.81229,                0.45646,                  1.466,                 1.2334,                 1.4143,               0.035777,              0.0067767,              0.0067767
                     24,                 1.4763,                 1.3383,                 1.4443,                0.73927,                0.92157,                0.80352,                0.35017,                  1.885,                 1.3776,                 1.7473,               0.033048,              0.0070484,              0.0070484
                     25,                 1.5716,                 1.4252,                 1.5532,                0.80035,                 0.9569,                0.92992,                0.55214,                 1.3799,                  1.135,                  1.357,               0.030319,              0.0073188,              0.0073188
                     26,                 1.5189,                 1.4219,                  1.539,                0.78602,                0.97414,                0.91128,                0.42253,                   1.76,                 1.2482,                 1.6202,               0.027588,              0.0075882,              0.0075882
                     27,                 1.5705,                 1.4479,                 1.4437,                0.71667,                0.65148,                 0.7006,                0.37535,                 1.7643,                  1.977,                 1.8562,               0.024856,              0.0078563,              0.0078563
                     28,                 1.4482,                 1.2853,                 1.4434,                0.71667,                0.65148,                 0.7006,                0.37535,                 1.7643,                  1.977,                 1.8562,               0.022123,              0.0081232,              0.0081232
                     29,                 1.5458,                 1.3346,                 1.4624,                0.92502,                0.41301,                0.53671,                0.23966,                 2.2099,                 2.5139,                 2.4686,               0.019389,               0.008389,               0.008389
                     30,                 1.5272,                 1.4771,                  1.507,                0.89068,                0.80814,                 0.9204,                0.50342,                  1.525,                 1.1897,                 1.4613,               0.016654,              0.0086535,              0.0086535
                     31,                 1.4993,                 1.2707,                 1.4712,                0.92978,                0.95715,                0.98438,                 0.5568,                 1.4476,                 1.0112,                 1.4129,               0.013917,              0.0089169,              0.0089169
                     32,                 1.5937,                 1.3618,                 1.4982,                0.92978,                0.95715,                0.98438,                 0.5568,                 1.4476,                 1.0112,                 1.4129,               0.011179,              0.0091791,              0.0091791
                     33,                 1.5186,                  1.371,                 1.4446,                0.92728,                0.93781,                0.98821,                0.58631,                 1.3668,                 0.9873,                  1.343,              0.0093466,              0.0093466,              0.0093466
                     34,                 1.5705,                 1.4605,                 1.5576,                0.78329,                0.85026,                0.93956,                 0.4805,                 1.6536,                 1.2235,                 1.5196,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.5182,                 1.3378,                 1.4523,                0.80135,                0.78333,                0.86407,                0.45097,                 1.5721,                 1.3451,                 1.5591,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.3919,                 1.2361,                 1.3229,                0.80135,                0.78333,                0.86407,                0.45097,                 1.5721,                 1.3451,                 1.5591,               0.009307,               0.009307,               0.009307
                     37,                 1.5554,                 1.3951,                  1.449,                0.40006,                0.49765,                0.49517,                0.22652,                 2.1726,                 2.3845,                 2.5064,              0.0092872,              0.0092872,              0.0092872
                     38,                  1.522,                 1.3142,                 1.4345,                0.78476,                0.52059,                0.54847,                0.24226,                 2.1915,                 2.2367,                 2.5704,              0.0092674,              0.0092674,              0.0092674
                     39,                  1.517,                 1.4188,                 1.4896,                0.71681,                0.63632,                0.69238,                0.37673,                 1.7813,                  1.939,                 1.9348,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.5495,                 1.3313,                 1.4579,                0.71681,                0.63632,                0.69238,                0.37673,                 1.7813,                  1.939,                 1.9348,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.4468,                  1.415,                 1.4212,                0.80496,                0.79741,                0.86024,                 0.4691,                 1.5402,                 1.2663,                 1.5436,               0.009208,               0.009208,               0.009208
                     42,                 1.4601,                 1.4029,                 1.4745,                0.74684,                0.48894,                0.66528,                0.32961,                 1.8386,                 2.1064,                 1.8998,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.4726,                 1.4071,                 1.4897,                0.92726,                0.61935,                0.70459,                0.32195,                 2.0373,                  1.759,                 2.1074,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.4806,                 1.3816,                 1.4616,                0.92726,                0.61935,                0.70459,                0.32195,                 2.0373,                  1.759,                 2.1074,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.4349,                 1.3179,                 1.4428,                0.92543,                0.95263,                0.97811,                0.52863,                 1.5258,                 0.9748,                 1.4857,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.3683,                 1.3686,                 1.3805,                0.90928,                0.96004,                0.95962,                 0.5766,                 1.3388,                0.97598,                 1.3519,               0.009109,               0.009109,               0.009109
                     47,                 1.4533,                 1.4043,                 1.4465,                 0.8963,                0.93263,                  0.946,                0.56173,                 1.3228,                 1.0587,                   1.34,              0.0090892,              0.0090892,              0.0090892
                     48,                   1.41,                  1.213,                 1.3677,                 0.8963,                0.93263,                  0.946,                0.56173,                 1.3228,                 1.0587,                   1.34,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.4516,                 1.3366,                 1.4169,                0.86285,                0.94688,                0.93767,                  0.556,                 1.4383,                 0.9832,                 1.4085,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.4714,                 1.1919,                 1.3977,                0.92723,                0.96505,                0.96265,                0.52434,                 1.5452,                0.95154,                 1.4557,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.5679,                 1.2852,                 1.4903,                0.96794,                0.93921,                 0.9789,                0.63318,                 1.2977,                0.90298,                  1.323,                0.00901,                0.00901,                0.00901
                     52,                 1.4463,                  1.181,                 1.3819,                0.96794,                0.93921,                 0.9789,                0.63318,                 1.2977,                0.90298,                  1.323,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.4475,                 1.1731,                 1.3697,                0.91631,                0.99735,                0.96128,                0.57102,                 1.4342,                0.91487,                 1.4192,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.3831,                 1.1957,                 1.3447,                0.94621,                0.98428,                0.97641,                0.59936,                 1.3634,                 0.9003,                 1.3448,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.4831,                 1.2196,                 1.4097,                0.91282,                0.93221,                0.96388,                0.45072,                 1.7792,                 1.0785,                 1.6521,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.4244,                 1.1899,                 1.4089,                0.91282,                0.93221,                0.96388,                0.45072,                 1.7792,                 1.0785,                 1.6521,               0.008911,               0.008911,               0.008911
                     57,                 1.3893,                 1.0988,                 1.4368,                0.83644,                0.75964,                0.83701,                0.38904,                 1.8119,                 1.6522,                 1.8151,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.4548,                 1.1333,                 1.4247,                0.96032,                0.67289,                0.80003,                0.36406,                 1.7985,                 1.6794,                 1.8878,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.4368,                 1.1641,                 1.4497,                0.79086,                0.82708,                 0.8935,                0.49159,                 1.5453,                 1.4285,                 1.5309,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.4353,                 1.2218,                 1.3946,                0.79086,                0.82708,                 0.8935,                0.49159,                 1.5453,                 1.4285,                 1.5309,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.4708,                 1.2316,                 1.4555,                0.80949,                0.88392,                0.92696,                0.49369,                 1.5837,                 1.3041,                 1.5506,               0.008812,               0.008812,               0.008812
                     62,                 1.3374,                 1.1169,                 1.3137,                0.88486,                0.93771,                0.97303,                0.60203,                 1.3574,                 1.0202,                 1.3449,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.3715,                 1.1457,                 1.3484,                0.95653,                 0.9671,                0.97894,                0.60466,                 1.3035,                0.93334,                 1.3077,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.3229,                 1.1503,                 1.3391,                0.95653,                 0.9671,                0.97894,                0.60466,                 1.3035,                0.93334,                 1.3077,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.3147,                 1.0755,                 1.3185,                0.92784,                0.92857,                0.96477,                0.60014,                 1.3255,                0.89536,                 1.3466,              0.0087328,              0.0087328,              0.0087328
                     66,                  1.375,                 1.0885,                 1.3773,                0.94311,                0.94864,                0.97947,                0.58414,                 1.4051,                0.92217,                 1.3731,               0.008713,               0.008713,               0.008713
                     67,                 1.3479,                 1.1951,                  1.401,                0.94963,                0.93699,                0.96745,                0.57498,                 1.3544,                0.94728,                 1.3295,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.4669,                 1.1852,                 1.4204,                0.94963,                0.93699,                0.96745,                0.57498,                 1.3544,                0.94728,                 1.3295,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.4137,                 1.1681,                 1.3997,                0.92758,                0.95758,                0.96502,                0.55901,                 1.5103,                0.92225,                 1.4735,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.4531,                 1.2327,                  1.432,                0.94121,                0.95029,                0.98242,                0.58193,                 1.3782,                0.93129,                 1.3835,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.3282,                 1.0718,                 1.3485,                0.91615,                0.95567,                0.96949,                0.52336,                 1.5083,                 0.9328,                 1.4807,               0.008614,               0.008614,               0.008614
                     72,                 1.4308,                 1.2111,                 1.4087,                0.91615,                0.95567,                0.96949,                0.52336,                 1.5083,                 0.9328,                 1.4807,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.4376,                 1.1512,                 1.4507,                0.92018,                0.98718,                0.98479,                0.62505,                 1.2683,                 0.8968,                 1.2995,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.3124,                 1.1867,                 1.3595,                0.92898,                0.98083,                 0.9809,                0.60303,                 1.3492,                0.93193,                 1.3707,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.4152,                 1.1477,                 1.4248,                0.93337,                      1,                0.98274,                0.60118,                 1.3142,                 0.8905,                 1.3308,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.3898,                 1.1424,                 1.3809,                0.93337,                      1,                0.98274,                0.60118,                 1.3142,                 0.8905,                 1.3308,               0.008515,               0.008515,               0.008515
                     77,                 1.2986,                 1.0389,                  1.379,                0.94573,                0.98763,                0.98076,                0.55649,                  1.406,                0.90511,                 1.4044,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.3064,                 1.1284,                 1.3554,                0.95468,                 0.9876,                0.98583,                 0.6045,                 1.2882,                0.87632,                 1.3096,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.3556,                 1.1003,                 1.3812,                0.93387,                0.92055,                0.94263,                 0.5572,                  1.435,                0.94267,                 1.4285,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.2922,                 1.0961,                  1.298,                0.93387,                0.92055,                0.94263,                 0.5572,                  1.435,                0.94267,                 1.4285,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.2886,                 1.1332,                 1.3703,                0.85815,                0.82226,                0.88767,                0.41948,                 1.6484,                 1.1841,                 1.6467,               0.008416,               0.008416,               0.008416
                     82,                 1.2525,                 1.0551,                 1.2908,                0.92738,                0.88279,                0.94162,                0.58545,                 1.3476,                0.98453,                 1.3857,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.3086,                  1.044,                 1.3486,                0.91148,                0.86367,                0.93355,                0.57707,                 1.3674,                 1.0496,                 1.3672,              0.0083764,              0.0083764,              0.0083764
                     84,                  1.224,                0.99121,                 1.3034,                0.91148,                0.86367,                0.93355,                0.57707,                 1.3674,                 1.0496,                 1.3672,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.1955,                 1.0325,                 1.2568,                 0.8992,                0.77806,                0.87796,                0.51254,                 1.4615,                 1.3929,                 1.5181,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.2983,                 1.0291,                  1.321,                  0.892,                0.87575,                0.91459,                 0.5342,                 1.4655,                 1.1355,                 1.4847,               0.008317,               0.008317,               0.008317
                     87,                 1.3189,                 1.1159,                 1.3504,                0.95711,                0.53288,                0.58733,                 0.3116,                 2.0082,                 2.3348,                  2.273,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.3172,                 1.0743,                 1.3293,                0.95711,                0.53288,                0.58733,                 0.3116,                 2.0082,                 2.3348,                  2.273,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.3067,                 1.0738,                 1.3887,                0.89724,                0.62535,                0.73607,                0.43061,                  1.491,                 1.6439,                  1.621,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.3249,                 1.0524,                 1.3746,                0.91244,                0.96509,                0.97073,                0.57484,                 1.4704,                0.92912,                 1.4535,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.1751,                0.94238,                 1.2318,                0.97436,                0.44681,                0.49826,                0.25201,                 2.2261,                  2.594,                 2.7688,               0.008218,               0.008218,               0.008218
                     92,                 1.2728,                  1.053,                 1.3525,                0.97436,                0.44681,                0.49826,                0.25201,                 2.2261,                  2.594,                 2.7688,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.2826,                  0.974,                 1.3255,                0.95481,                0.07324,                0.22498,                0.04529,                 3.3119,                 3.8878,                 4.2834,              0.0081784,              0.0081784,              0.0081784
                     94,                  1.304,                   1.11,                 1.3674,                0.85625,                0.78949,                0.86903,                0.52573,                 1.3622,                 1.3763,                 1.4055,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.2959,                 1.0939,                 1.3465,                0.97536,                 0.9939,                  0.995,                0.63746,                 1.2672,                0.72978,                 1.2932,              0.0081388,              0.0081388,              0.0081388
                     96,                 1.2839,                 1.0411,                 1.3331,                0.97536,                 0.9939,                  0.995,                0.63746,                 1.2672,                0.72978,                 1.2932,               0.008119,               0.008119,               0.008119
                     97,                 1.2984,                  1.011,                 1.3688,                0.95374,                0.91705,                0.96414,                0.58006,                 1.4271,                0.81426,                 1.3891,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.2879,                0.97676,                 1.3009,                0.97583,                0.94674,                0.97705,                0.62886,                 1.2483,                0.74285,                 1.2836,              0.0080794,              0.0080794,              0.0080794
                     99,                 1.1854,                0.90688,                 1.2008,                0.97124,                 0.9331,                0.97812,                0.59709,                 1.3712,                0.80787,                 1.3675,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.3139,                0.98895,                 1.3921,                0.97124,                 0.9331,                0.97812,                0.59709,                 1.3712,                0.80787,                 1.3675,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.3126,                 1.0567,                 1.3535,                0.97795,                0.90333,                0.94352,                0.53855,                 1.5529,                0.96674,                 1.4958,                0.00802,                0.00802,                0.00802
                    102,                  1.257,                 1.0169,                 1.3333,                0.94644,                0.98855,                0.99194,                0.64791,                 1.1958,                0.74207,                 1.2398,              0.0080002,              0.0080002,              0.0080002
                    103,                 1.3127,                 1.0623,                 1.3441,                0.95018,                0.86853,                0.94319,                0.56483,                 1.4168,                0.97678,                  1.442,              0.0079804,              0.0079804,              0.0079804
                    104,                 1.2244,                0.93795,                 1.2911,                0.95018,                0.86853,                0.94319,                0.56483,                 1.4168,                0.97678,                  1.442,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.3232,                 1.0138,                 1.3338,                0.96192,                0.94659,                0.97793,                0.57405,                 1.4164,                0.88259,                 1.4132,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.1518,                0.94428,                 1.2425,                0.98386,                0.95541,                0.99156,                0.63208,                 1.1923,                 0.7591,                  1.242,               0.007921,               0.007921,               0.007921
                    107,                   1.31,                 1.0437,                 1.3902,                0.96709,                0.97069,                0.99267,                 0.6755,                 1.0981,                0.74812,                 1.1934,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.2285,                 0.9332,                 1.2673,                0.96709,                0.97069,                0.99267,                 0.6755,                 1.0981,                0.74812,                 1.1934,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.3206,                  1.048,                 1.3435,                0.96022,                0.96965,                0.98272,                0.60717,                 1.2922,                0.90434,                 1.3271,              0.0078616,              0.0078616,              0.0078616
                    110,                 1.2339,                 1.1141,                 1.2867,                0.94903,                0.99186,                 0.9942,                0.62237,                 1.3136,                0.83463,                 1.3366,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.2673,                 1.0293,                 1.3314,                0.95254,                0.98357,                0.99225,                0.67485,                 1.1399,                0.77506,                 1.2141,               0.007822,               0.007822,               0.007822
                    112,                 1.1192,                0.89169,                 1.2328,                0.95254,                0.98357,                0.99225,                0.67485,                 1.1399,                0.77506,                 1.2141,              0.0078022,              0.0078022,              0.0078022
                    113,                   1.27,                 1.0325,                 1.3527,                0.94907,                0.98995,                0.99267,                0.67892,                 1.0926,                0.75732,                 1.1764,              0.0077824,              0.0077824,              0.0077824
                    114,                 1.1873,                0.93363,                  1.246,                0.95257,                      1,                0.99108,                0.62892,                 1.2153,                 0.6858,                 1.2376,              0.0077626,              0.0077626,              0.0077626
                    115,                 1.2574,                 1.0055,                 1.3012,                0.95822,                      1,                  0.995,                0.69442,                 1.0344,                0.64612,                 1.1402,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.2401,                0.92513,                 1.3009,                0.95822,                      1,                  0.995,                0.69442,                 1.0344,                0.64612,                 1.1402,               0.007723,               0.007723,               0.007723
                    117,                  1.237,                0.94933,                 1.2814,                0.95477,                 0.9989,                0.99108,                0.70021,                  1.028,                0.67318,                  1.139,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.2811,                0.99147,                 1.3215,                0.95098,                0.97688,                 0.9917,                0.66552,                 1.1471,                0.73401,                  1.197,              0.0076834,              0.0076834,              0.0076834
                    119,                 1.2257,                 1.0254,                 1.2836,                0.96483,                0.97698,                  0.995,                0.69029,                 1.0911,                0.71886,                 1.1722,              0.0076636,              0.0076636,              0.0076636
                    120,                 1.1672,                 0.9116,                 1.2806,                0.96483,                0.97698,                  0.995,                0.69029,                 1.0911,                0.71886,                 1.1722,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.2312,                0.94411,                 1.2722,                 0.9185,                0.96767,                0.99022,                 0.6865,                 1.0872,                0.75641,                 1.1941,               0.007624,               0.007624,               0.007624
                    122,                   1.19,                 1.0064,                 1.2914,                0.94015,                0.94228,                0.98811,                0.65099,                 1.1721,                0.77248,                 1.2333,              0.0076042,              0.0076042,              0.0076042
                    123,                    1.2,                0.98204,                 1.3153,                0.94819,                0.98743,                0.99383,                0.68368,                 1.1631,                0.69359,                 1.2358,              0.0075844,              0.0075844,              0.0075844
                    124,                 1.2158,                 1.0713,                 1.3371,                0.94819,                0.98743,                0.99383,                0.68368,                 1.1631,                0.69359,                 1.2358,              0.0075646,              0.0075646,              0.0075646
                    125,                 1.2519,                0.91774,                 1.3112,                 0.9162,                0.97541,                0.98672,                0.59664,                 1.3686,                0.77079,                 1.3774,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.1783,                0.94664,                 1.2673,                 0.9153,                0.98214,                0.98743,                0.66047,                 1.1562,                0.70535,                 1.2462,               0.007525,               0.007525,               0.007525
                    127,                  1.151,                0.92876,                 1.2364,                0.93491,                0.98214,                0.98816,                0.66145,                 1.1881,                0.70642,                 1.2535,              0.0075052,              0.0075052,              0.0075052
                    128,                 1.1186,                0.95512,                 1.2433,                0.93491,                0.98214,                0.98816,                0.66145,                 1.1881,                0.70642,                 1.2535,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.1983,                0.92145,                 1.3108,                 0.9463,                0.96143,                0.98648,                0.66999,                 1.1308,                0.69791,                 1.2275,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.1463,                0.91754,                  1.231,                0.95495,                0.97439,                 0.9885,                0.66964,                 1.1602,                0.68259,                 1.2418,              0.0074458,              0.0074458,              0.0074458
                    131,                 1.1147,                0.88351,                 1.2013,                0.94069,                0.96346,                0.98455,                0.69328,                 1.1011,                0.69511,                 1.1855,               0.007426,               0.007426,               0.007426
                    132,                 1.1519,                0.97623,                 1.2908,                0.94069,                0.96346,                0.98455,                0.69328,                 1.1011,                0.69511,                 1.1855,              0.0074062,              0.0074062,              0.0074062
                    133,                 1.1077,                0.90072,                 1.2201,                0.89935,                0.94289,                0.98238,                0.68341,                 1.1002,                0.78355,                 1.1735,              0.0073864,              0.0073864,              0.0073864
                    134,                 1.1383,                0.95753,                 1.2525,                0.93283,                0.95598,                0.98328,                 0.6669,                 1.1314,                 0.7368,                 1.1795,              0.0073666,              0.0073666,              0.0073666
                    135,                   1.14,                0.92854,                 1.2236,                0.94719,                0.92381,                0.98478,                0.67135,                 1.0764,                0.70883,                 1.1552,              0.0073468,              0.0073468,              0.0073468
                    136,                 1.1343,                0.88843,                 1.2551,                0.94719,                0.92381,                0.98478,                0.67135,                 1.0764,                0.70883,                 1.1552,               0.007327,               0.007327,               0.007327
                    137,                 1.2987,                0.96597,                 1.3261,                 0.9666,                0.93231,                0.98647,                0.63695,                  1.181,                0.71814,                 1.2383,              0.0073072,              0.0073072,              0.0073072
                    138,                  1.202,                0.88762,                  1.227,                0.98002,                0.93036,                0.98278,                0.70426,                 1.0447,                0.65427,                 1.1449,              0.0072874,              0.0072874,              0.0072874
                    139,                 1.0901,                0.84009,                 1.2299,                0.95555,                0.96337,                0.98533,                0.70169,                 1.0912,                0.66881,                 1.1561,              0.0072676,              0.0072676,              0.0072676
                    140,                 1.2133,                 1.0028,                 1.2997,                0.95555,                0.96337,                0.98533,                0.70169,                 1.0912,                0.66881,                 1.1561,              0.0072478,              0.0072478,              0.0072478
                    141,                  1.208,                0.90199,                 1.3188,                0.93648,                0.98044,                0.98441,                0.70258,                 1.0619,                 0.7208,                 1.1454,               0.007228,               0.007228,               0.007228
                    142,                  1.137,                0.90729,                 1.2388,                0.95286,                0.96706,                0.98789,                0.69523,                 1.0794,                0.69574,                 1.1555,              0.0072082,              0.0072082,              0.0072082
                    143,                 1.1329,                0.92797,                 1.2378,                0.96518,                0.98214,                 0.9924,                0.71203,                 1.0418,                 0.6512,                 1.1272,              0.0071884,              0.0071884,              0.0071884
                    144,                 1.1087,                 0.9191,                 1.2554,                0.96518,                0.98214,                 0.9924,                0.71203,                 1.0418,                 0.6512,                 1.1272,              0.0071686,              0.0071686,              0.0071686
                    145,                 1.1519,                0.87015,                 1.2555,                0.97784,                0.97941,                0.99281,                0.71716,                  1.065,                0.65823,                 1.1498,              0.0071488,              0.0071488,              0.0071488
                    146,                 1.1034,                 0.8559,                 1.1838,                  0.994,                0.98096,                  0.995,                0.71796,                 1.0959,                0.66299,                 1.1742,               0.007129,               0.007129,               0.007129
                    147,                 1.0912,                  0.906,                 1.2026,                0.98473,                0.98418,                  0.995,                0.70596,                 1.1211,                0.64614,                 1.1965,              0.0071092,              0.0071092,              0.0071092
                    148,                  1.046,                0.83808,                 1.1857,                0.98473,                0.98418,                  0.995,                0.70596,                 1.1211,                0.64614,                 1.1965,              0.0070894,              0.0070894,              0.0070894
                    149,                 1.1425,                0.89807,                 1.2392,                0.97911,                0.99625,                  0.995,                0.73422,                 1.0236,                0.63663,                  1.126,              0.0070696,              0.0070696,              0.0070696
                    150,                 1.1116,                0.90355,                 1.2215,                 0.9836,                0.99637,                  0.995,                0.73667,                0.97887,                0.61698,                 1.1005,              0.0070498,              0.0070498,              0.0070498
                    151,                 1.0423,                0.83654,                 1.1886,                0.98732,                0.99636,                  0.995,                0.74749,                0.94138,                0.60215,                 1.0686,                0.00703,                0.00703,                0.00703
                    152,                 1.1158,                0.86404,                 1.2033,                0.98732,                0.99636,                  0.995,                0.74749,                0.94138,                0.60215,                 1.0686,              0.0070102,              0.0070102,              0.0070102
                    153,                 1.0507,                0.86574,                 1.1904,                0.96698,                0.99958,                0.99342,                0.73873,                0.97728,                0.62666,                 1.0899,              0.0069904,              0.0069904,              0.0069904
                    154,                  1.107,                0.93254,                 1.1903,                0.94466,                0.98714,                 0.9823,                0.66204,                 1.1346,                0.74836,                 1.2197,              0.0069706,              0.0069706,              0.0069706
                    155,                 1.0672,                0.86058,                 1.1854,                0.92296,                0.36207,                0.53359,                0.30494,                 1.8231,                 2.8183,                 2.2148,              0.0069508,              0.0069508,              0.0069508
                    156,                 1.0178,                 0.8662,                 1.1444,                0.92296,                0.36207,                0.53359,                0.30494,                 1.8231,                 2.8183,                 2.2148,               0.006931,               0.006931,               0.006931
                    157,                 1.0462,                0.80683,                 1.1609,                0.92448,                0.38847,                0.53758,                0.31062,                 1.7792,                 2.7247,                 2.1655,              0.0069112,              0.0069112,              0.0069112
                    158,                 1.1679,                0.90512,                 1.2472,                0.94002,                 0.7338,                0.87024,                0.53683,                 1.2829,                 1.3508,                 1.4093,              0.0068914,              0.0068914,              0.0068914
                    159,                 1.0731,                0.80515,                 1.1694,                0.98512,                0.99761,                  0.995,                0.71434,                 1.0931,                0.60272,                 1.1557,              0.0068716,              0.0068716,              0.0068716
                    160,                 1.0533,                0.85149,                 1.1828,                0.98512,                0.99761,                  0.995,                0.71434,                 1.0931,                0.60272,                 1.1557,              0.0068518,              0.0068518,              0.0068518
                    161,                 1.0624,                0.79134,                 1.1933,                0.96557,                0.99806,                0.99458,                0.70297,                 1.1044,                0.61617,                 1.1732,               0.006832,               0.006832,               0.006832
                    162,                   1.02,                0.80763,                 1.1523,                0.97442,                0.99856,                  0.995,                0.69814,                 1.1572,                0.61029,                  1.215,              0.0068122,              0.0068122,              0.0068122
                    163,                  1.016,                  0.746,                 1.1693,                0.97465,                      1,                  0.995,                0.73779,                 1.0089,                0.56625,                 1.1271,              0.0067924,              0.0067924,              0.0067924
                    164,                 1.0215,                0.78406,                 1.1874,                0.97465,                      1,                  0.995,                0.73779,                 1.0089,                0.56625,                 1.1271,              0.0067726,              0.0067726,              0.0067726
                    165,                 1.0642,                0.85138,                 1.1873,                 0.9783,                0.99769,                0.99458,                 0.7507,                0.97749,                0.55795,                 1.1073,              0.0067528,              0.0067528,              0.0067528
                    166,                 1.0547,                0.80431,                 1.1569,                0.97379,                0.99947,                0.99281,                0.72501,                 1.0685,                0.57565,                 1.1472,               0.006733,               0.006733,               0.006733
                    167,                 1.0187,                0.78031,                 1.1681,                 0.9535,                0.98905,                0.98917,                0.71495,                 1.0766,                0.65314,                 1.1682,              0.0067132,              0.0067132,              0.0067132
                    168,                 1.0636,                0.81343,                 1.2135,                 0.9535,                0.98905,                0.98917,                0.71495,                 1.0766,                0.65314,                 1.1682,              0.0066934,              0.0066934,              0.0066934
                    169,                 1.0967,                0.86118,                 1.2089,                0.96256,                0.99515,                0.99458,                 0.7761,                0.88309,                0.54829,                 1.0456,              0.0066736,              0.0066736,              0.0066736
                    170,                 1.0852,                0.88161,                  1.217,                0.96121,                0.98855,                0.99365,                0.76092,                0.93904,                 0.5925,                 1.0936,              0.0066538,              0.0066538,              0.0066538
                    171,                0.98802,                0.79987,                 1.1422,                0.97645,                0.99904,                0.99458,                0.75775,                0.98325,                0.57185,                  1.107,               0.006634,               0.006634,               0.006634
                    172,                0.96679,                0.80152,                 1.1332,                0.97645,                0.99904,                0.99458,                0.75775,                0.98325,                0.57185,                  1.107,              0.0066142,              0.0066142,              0.0066142
                    173,                 1.0045,                0.78494,                 1.1577,                0.97498,                0.99523,                0.99281,                0.67613,                 1.2059,                0.65574,                 1.2871,              0.0065944,              0.0065944,              0.0065944
                    174,                  1.056,                0.84251,                  1.186,                0.97248,                0.99461,                0.99281,                0.63357,                 1.2662,                0.69848,                 1.3225,              0.0065746,              0.0065746,              0.0065746
                    175,                 1.0722,                0.85291,                 1.2094,                0.95984,                0.98066,                0.97982,                0.60692,                 1.3652,                0.70047,                  1.441,              0.0065548,              0.0065548,              0.0065548
                    176,                 1.0699,                0.82454,                 1.1798,                0.95984,                0.98066,                0.97982,                0.60692,                 1.3652,                0.70047,                  1.441,               0.006535,               0.006535,               0.006535
                    177,                 1.0383,                0.86961,                 1.1714,                0.95836,                0.96894,                0.98466,                0.61634,                 1.3297,                0.67909,                 1.4539,              0.0065152,              0.0065152,              0.0065152
