                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2203,                 2.0458,                  1.102,                0.46957,                0.75304,                0.65828,                0.39861,                 1.3393,                 1.9823,                 1.1193,               0.069171,              0.0031711,              0.0031711
                     35,                 1.0146,                 1.6893,                 1.0064,                0.46957,                0.75304,                0.65828,                0.39861,                 1.3393,                 1.9823,                 1.1193,               0.068257,              0.0032574,              0.0032574
                     36,                 1.2995,                 1.8554,                 1.1291,                0.51797,                0.87606,                0.70627,                0.42244,                 1.3491,                 1.9838,                 1.1427,               0.067343,              0.0033434,              0.0033434
                     37,                 1.3154,                    1.8,                 1.1673,                0.51797,                0.87606,                0.70627,                0.42244,                 1.3491,                 1.9838,                 1.1427,               0.066429,              0.0034289,              0.0034289
                     38,                 1.1986,                 1.5674,                 1.0692,                0.60998,                0.92775,                0.75233,                0.40519,                  1.519,                 1.7476,                 1.2482,               0.065514,              0.0035141,              0.0035141
                     39,                 1.4807,                  1.728,                 1.2375,                0.60998,                0.92775,                0.75233,                0.40519,                  1.519,                 1.7476,                 1.2482,               0.064599,              0.0035988,              0.0035988
                     40,                 1.3649,                 1.7192,                 1.2295,                0.70249,                0.79879,                0.78267,                0.53906,                  1.143,                 1.3705,                 1.1256,               0.063683,              0.0036832,              0.0036832
                     41,                 1.2537,                 1.5389,                 1.0973,                0.70249,                0.79879,                0.78267,                0.53906,                  1.143,                 1.3705,                 1.1256,               0.062767,              0.0037672,              0.0037672
                     42,                 1.3414,                 1.8111,                 1.2066,                0.77331,                0.86181,                0.85806,                0.55105,                 1.2561,                 1.3198,                 1.1834,               0.061851,              0.0038507,              0.0038507
                     43,                  1.231,                 1.5814,                 1.1875,                0.77331,                0.86181,                0.85806,                0.55105,                 1.2561,                 1.3198,                 1.1834,               0.060934,              0.0039339,              0.0039339
                     44,                 1.3713,                 1.4528,                 1.1821,                0.84481,                0.78256,                0.84308,                0.55084,                 1.2428,                 1.2793,                 1.1584,               0.060017,              0.0040167,              0.0040167
                     45,                 1.0607,                 1.4208,                 1.0629,                0.84481,                0.78256,                0.84308,                0.55084,                 1.2428,                 1.2793,                 1.1584,               0.059099,              0.0040991,              0.0040991
                     46,                 1.1344,                  1.344,                 1.0879,                0.86145,                0.82831,                0.90553,                0.58846,                 1.2396,                 1.2214,                 1.1893,               0.058181,               0.004181,               0.004181
                     47,                 1.2375,                 1.4989,                 1.1666,                0.86145,                0.82831,                0.90553,                0.58846,                 1.2396,                 1.2214,                 1.1893,               0.057263,              0.0042626,              0.0042626
                     48,                 1.3237,                 1.2033,                 1.1867,                0.85531,                0.86719,                0.91524,                0.56249,                 1.3786,                 1.1542,                 1.2364,               0.056344,              0.0043438,              0.0043438
                     49,                 1.1163,                 1.4304,                 1.0607,                0.85531,                0.86719,                0.91524,                0.56249,                 1.3786,                 1.1542,                 1.2364,               0.055425,              0.0044246,              0.0044246
                     50,                 1.1418,                 1.2597,                 1.0622,                0.80571,                0.91949,                0.93496,                0.61841,                 1.2398,                   1.19,                   1.16,               0.054505,               0.004505,               0.004505
                     51,                 1.3129,                 1.3405,                 1.2328,                0.80571,                0.91949,                0.93496,                0.61841,                 1.2398,                   1.19,                   1.16,               0.053585,               0.004585,               0.004585
                     52,                 1.1073,                 1.1846,                 1.0514,                0.80571,                0.91949,                0.93496,                0.61841,                 1.2398,                   1.19,                   1.16,               0.052665,              0.0046646,              0.0046646
                     53,                 1.0885,                 1.1987,                 1.1118,                0.90265,                  0.975,                0.98173,                 0.6436,                 1.2184,                 1.0709,                  1.114,               0.051744,              0.0047438,              0.0047438
                     54,                 1.2378,                 1.3109,                 1.1302,                0.90265,                  0.975,                0.98173,                 0.6436,                 1.2184,                 1.0709,                  1.114,               0.050823,              0.0048226,              0.0048226
                     55,                 1.3044,                 1.2393,                 1.2335,                0.90265,                  0.975,                0.98173,                 0.6436,                 1.2184,                 1.0709,                  1.114,               0.049901,              0.0049011,              0.0049011
                     56,                 1.3149,                 1.3428,                 1.2321,                0.89819,                0.96861,                0.98675,                0.65118,                 1.2131,                 1.0786,                 1.1105,               0.048979,              0.0049791,              0.0049791
                     57,                 1.1507,                 1.1446,                  1.083,                0.89819,                0.96861,                0.98675,                0.65118,                 1.2131,                 1.0786,                 1.1105,               0.048057,              0.0050567,              0.0050567
                     58,                 1.1763,                 1.1894,                 1.0961,                0.89819,                0.96861,                0.98675,                0.65118,                 1.2131,                 1.0786,                 1.1105,               0.047134,              0.0051339,              0.0051339
                     59,                 1.3134,                  1.349,                 1.1386,                0.91428,                 0.9732,                  0.984,                0.65999,                 1.1546,                 1.1273,                 1.0944,               0.046211,              0.0052108,              0.0052108
                     60,                 1.3164,                 1.2748,                 1.1793,                0.91428,                 0.9732,                  0.984,                0.65999,                 1.1546,                 1.1273,                 1.0944,               0.045287,              0.0052872,              0.0052872
                     61,                 1.1865,                 1.2504,                 1.1022,                0.91428,                 0.9732,                  0.984,                0.65999,                 1.1546,                 1.1273,                 1.0944,               0.044363,              0.0053632,              0.0053632
                     62,                 1.2624,                 1.2305,                 1.1755,                0.93891,                0.98929,                 0.9785,                0.67418,                 1.1227,                 1.0308,                 1.0923,               0.043439,              0.0054389,              0.0054389
                     63,                  1.144,                 1.1322,                 1.0727,                0.93891,                0.98929,                 0.9785,                0.67418,                 1.1227,                 1.0308,                 1.0923,               0.042514,              0.0055141,              0.0055141
                     64,                 1.1207,                 1.1724,                 1.0713,                0.93891,                0.98929,                 0.9785,                0.67418,                 1.1227,                 1.0308,                 1.0923,               0.041589,               0.005589,               0.005589
                     65,                 1.1694,                 1.1615,                 1.1444,                0.93328,                0.99066,                  0.984,                0.70311,                 1.0044,                0.93517,                 1.0557,               0.040663,              0.0056635,              0.0056635
                     66,                 1.3082,                 1.2608,                 1.2209,                0.93328,                0.99066,                  0.984,                0.70311,                 1.0044,                0.93517,                 1.0557,               0.039738,              0.0057375,              0.0057375
                     67,                 1.1854,                 1.1474,                 1.1145,                0.93328,                0.99066,                  0.984,                0.70311,                 1.0044,                0.93517,                 1.0557,               0.038811,              0.0058112,              0.0058112
                     68,                 1.3029,                 1.2493,                 1.1569,                0.93602,                      1,                  0.984,                0.66597,                 1.2268,                0.96775,                 1.1536,               0.037884,              0.0058844,              0.0058844
                     69,                 1.2907,                 1.1048,                 1.1114,                0.93602,                      1,                  0.984,                0.66597,                 1.2268,                0.96775,                 1.1536,               0.036957,              0.0059573,              0.0059573
                     70,                 1.3318,                 1.1348,                 1.1102,                0.93602,                      1,                  0.984,                0.66597,                 1.2268,                0.96775,                 1.1536,                0.03603,              0.0060298,              0.0060298
                     71,                 1.1817,                 1.0685,                 1.0716,                0.92716,                      1,                  0.984,                0.70616,                 1.0206,                 0.9169,                 1.0566,               0.035102,              0.0061019,              0.0061019
                     72,                 1.1265,                 1.0421,                 1.0554,                0.92716,                      1,                  0.984,                0.70616,                 1.0206,                 0.9169,                 1.0566,               0.034174,              0.0061736,              0.0061736
                     73,                 1.1375,                 1.0823,                 1.1067,                0.92716,                      1,                  0.984,                0.70616,                 1.0206,                 0.9169,                 1.0566,               0.033245,              0.0062449,              0.0062449
                     74,                 1.2442,                 1.1095,                 1.0968,                 0.9355,                0.99366,                0.98675,                0.70757,                 1.0666,                0.90299,                 1.0683,               0.032316,              0.0063158,              0.0063158
                     75,                 1.2102,                 1.1688,                 1.1262,                 0.9355,                0.99366,                0.98675,                0.70757,                 1.0666,                0.90299,                 1.0683,               0.031386,              0.0063862,              0.0063862
                     76,                 1.0933,                 1.0535,                 1.0272,                 0.9355,                0.99366,                0.98675,                0.70757,                 1.0666,                0.90299,                 1.0683,               0.030456,              0.0064564,              0.0064564
                     77,                 1.1163,                0.98594,                 1.0465,                0.91542,                0.98387,                  0.984,                0.68898,                 1.0747,                0.93782,                 1.0815,               0.029526,              0.0065261,              0.0065261
                     78,                  1.104,                 1.0683,                 1.0905,                0.91542,                0.98387,                  0.984,                0.68898,                 1.0747,                0.93782,                 1.0815,               0.028595,              0.0065954,              0.0065954
                     79,                 1.2092,                 1.0169,                 1.0886,                0.91542,                0.98387,                  0.984,                0.68898,                 1.0747,                0.93782,                 1.0815,               0.027664,              0.0066643,              0.0066643
                     80,                 1.1147,                 1.0261,                 1.0889,                0.88878,                 0.9701,                  0.995,                0.60422,                 1.3424,                 1.0072,                 1.2039,               0.026733,              0.0067328,              0.0067328
                     81,                 1.2889,                 1.0552,                 1.1662,                0.88878,                 0.9701,                  0.995,                0.60422,                 1.3424,                 1.0072,                 1.2039,               0.025801,              0.0068009,              0.0068009
                     82,                 1.1792,                 1.0393,                 1.1084,                0.88878,                 0.9701,                  0.995,                0.60422,                 1.3424,                 1.0072,                 1.2039,               0.024869,              0.0068686,              0.0068686
                     83,                 1.1679,                 1.0311,                 1.1084,                0.93092,                0.95676,                 0.9895,                0.67375,                 1.0896,                 0.9967,                 1.1133,               0.023936,               0.006936,               0.006936
